FID,Field1,Aquifer,Station,Latitude,Longitude,Date,Cl,HCO3,SO4,NaK,Ca,Mg,TDS,Source
74,443,Capitan Reef Complex,5216912.000000000000000,30.786388899999999,-103.026750000000007,2016-06-15T00:00:00.000000000,7.502891151665585,4.221196721311475,7.952700170712412,8.021107479315662,6.337641598882179,3.735856819584447,1162.098999999999933,TWDB
75,444,Capitan Reef Complex,5216504.000000000000000,30.802222199999999,-103.048333299999996,2008-04-25T00:00:00.000000000,14.441655149070598,5.281475409836066,11.804138735062665,14.252570397182311,12.475672438744448,4.032092162106562,1907.000000000000000,TWDB
76,485,Edwards-Trinity Plateau,5310106.000000000000000,30.870000000000001,-102.872500000000002,1998-10-10T00:00:00.000000000,9.505542549290610,4.281147540983606,8.493983428404880,11.078417086857817,8.034333050551425,4.418843859288213,1372.000000000000000,TWDB
77,486,Edwards-Trinity Plateau,5310105.000000000000000,30.868611000000001,-102.870554999999996,1993-05-27T00:00:00.000000000,9.844018841846951,4.541311475409835,8.764625057251115,12.237970143177744,7.834722291531513,4.690392923266818,1429.000000000000000,TWDB
78,487,Edwards-Trinity Plateau,5310101.000000000000000,30.861111999999999,-102.869721999999996,2007-04-10T00:00:00.000000000,9.026034468169124,4.361147540983606,7.890244410209435,10.026428869172154,7.285792704226758,3.949804566961530,1275.000000000000000,TWDB
79,488,Edwards-Trinity Plateau,5309307.000000000000000,30.848611099999999,-102.898333300000004,2010-05-10T00:00:00.000000000,9.279891687586382,4.421147540983607,8.119248865387018,9.578735249234912,6.786765806676979,3.719399300555442,1274.000000000000000,TWDB
80,489,Edwards-Trinity Plateau,5309306.000000000000000,30.873888900000001,-102.882222200000001,2007-04-10T00:00:00.000000000,12.156940174315290,3.880983606557377,15.031019694383145,12.240492202740109,11.228105194870002,7.101419461016252,1899.000000000000000,TWDB
81,490,Edwards-Trinity Plateau,5309108.000000000000000,30.850556000000001,-102.992778000000001,2010-05-11T00:00:00.000000000,6.346430485431416,4.501147540983607,5.496106924261981,8.388674621416154,4.027147063226708,3.061098539395187,957.000000000000000,TWDB
82,508,Edwards-Trinity Plateau,5302711.000000000000000,30.883889000000000,-102.874722000000006,2010-05-10T00:00:00.000000000,10.633796857811751,3.560983606557377,10.575842111837449,11.339442460557816,7.136084634961824,4.698621682781321,1475.000000000000000,TWDB
83,512,Edwards-Trinity Plateau,5301918.000000000000000,30.883736100000000,-102.876172199999999,2018-03-22T00:00:00.000000000,12.580035540010718,2.972836065573770,9.576549943789816,13.064740445345411,7.635111532511602,4.879654392100391,1549.368999999999915,TWDB
84,513,Edwards-Trinity Plateau,5301917.000000000000000,30.884258299999999,-102.876450000000006,2020-02-01T00:00:00.000000000,12.749273686288888,4.301213114754098,15.863763167756174,13.057138650636251,12.325964369479514,7.183707056161284,2025.317999999999984,TWDB
85,514,Edwards-Trinity Plateau,5301911.000000000000000,30.916111999999998,-102.883334000000005,2007-04-10T00:00:00.000000000,28.206357713028513,4.561147540983606,26.647791147936879,21.949626835354831,21.607864663905382,13.248302818350133,3642.000000000000000,TWDB
86,515,Edwards-Trinity Plateau,5301909.000000000000000,30.891945000000000,-102.888610999999997,1998-09-14T00:00:00.000000000,16.782782839251965,4.601311475409836,20.214847816130241,16.512707507292046,14.272169269923648,9.133923061098539,2541.000000000000000,TWDB
87,516,Edwards-Trinity Plateau,5301908.000000000000000,30.890000000000001,-102.884167000000005,1993-04-15T00:00:00.000000000,15.287845880461454,4.721311475409836,19.777657492609404,17.229355295241021,14.421877339188582,9.380785846533636,2499.000000000000000,TWDB
88,517,Edwards-Trinity Plateau,5301906.000000000000000,30.885847200000001,-102.875152799999995,2021-03-01T00:00:00.000000000,15.033988661044198,4.741344262295081,18.778365324561769,14.992344113457332,12.924796646539248,9.792223822258794,2350.315000000000055,TWDB
89,530,Edwards-Trinity Plateau,5216910.000000000000000,30.779444399999999,-103.026111099999994,2010-08-16T00:00:00.000000000,8.997828110456096,4.521147540983607,7.348961152516967,9.790909019272318,6.736863116922001,3.785229376671467,1244.000000000000000,TWDB
90,531,Edwards-Trinity Plateau,5216908.000000000000000,30.772221999999999,-103.035278000000005,2007-08-20T00:00:00.000000000,8.997828110456096,4.861311475409837,8.202523212724321,10.151826204853297,7.036279255451868,4.287183707056162,1323.000000000000000,TWDB
91,532,Edwards-Trinity Plateau,5216906.000000000000000,30.772500000000001,-103.022499999999994,1993-04-14T00:00:00.000000000,10.013256988125123,4.601311475409836,8.223341799558646,11.462317736676592,7.285792704226758,3.867516971816499,1378.000000000000000,TWDB
92,533,Edwards-Trinity Plateau,5216904.000000000000000,30.789166999999999,-103.027777999999998,2019-05-28T00:00:00.000000000,11.028685865794149,4.521278688524590,8.806262230919765,11.930835376913899,7.934527671041469,4.443530137831722,1467.055000000000064,TWDB
93,534,Edwards-Trinity Plateau,5216903.000000000000000,30.786944999999999,-103.026944000000000,2021-03-01T00:00:00.000000000,10.379939638394493,4.541295081967213,8.473164841570554,11.262747809047013,7.086181945206846,4.056778440650072,1392.140000000000100,TWDB
94,535,Edwards-Trinity Plateau,5216619.000000000000000,30.793056000000000,-103.006112000000002,2010-08-16T00:00:00.000000000,9.533748907003638,4.501147540983607,7.765332889203481,10.233743055599147,6.936473875941913,3.990948364534046,1302.000000000000000,TWDB
95,536,Edwards-Trinity Plateau,5216618.000000000000000,30.830278000000000,-103.030277999999996,2010-08-16T00:00:00.000000000,13.708289848531859,5.161311475409835,12.095598950743224,15.409565777917807,8.882678776386047,7.735033943632997,1901.000000000000000,TWDB
96,537,Edwards-Trinity Plateau,5216617.000000000000000,30.796389000000001,-103.017222000000004,2010-05-11T00:00:00.000000000,14.723718726200884,3.880983606557377,14.302369155181747,13.518714950773537,11.677229402664803,7.134334499074265,2050.000000000000000,TWDB
97,538,Edwards-Trinity Plateau,5216616.000000000000000,30.815833999999999,-103.007778000000002,2010-05-11T00:00:00.000000000,36.386201449806784,5.261475409836065,42.261731273681143,29.057103435294437,19.112730176156493,31.680724130837277,5075.000000000000000,TWDB
98,539,Edwards-Trinity Plateau,5216615.000000000000000,30.815833300000001,-103.034722200000004,2007-08-22T00:00:00.000000000,11.479987589202604,4.461147540983607,10.034558854144981,12.708974226955354,7.984430360796447,4.896111911129397,1572.000000000000000,TWDB
